window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_11_03_18_00_18_15,UP,44,697.077,2,727.279,-42
25_11_03_19_00_19_15,DOWN,46,1.247,38,33.569,-8
25_11_03_20_00_20_15,UP,46,208.649,33,240.971,-13
25_11_03_20_00_20_15,UP,42,336.909,25,367.02,-17
25_11_03_21_00_21_15,DOWN,36,45.604,22,75.793,-14
25_11_03_21_00_21_15,UP,47,709.385,38,742.256,-9
25_11_03_22_00_22_15,UP,39,40.697,28,70.777,-11
25_11_03_23_00_23_15,UP,18,113.262,9,144.404,-9
25_11_03_23_00_23_15,UP,8,800.773,0,834.578,-8
25_11_04_00_00_00_15,UP,47,8.425,30,43.508,-17
25_11_04_00_00_00_15,DOWN,68,428.115,57,458.132,-11
25_11_04_01_00_01_15,UP,61,238.94,46,269.973,-15
25_11_04_01_00_01_15,DOWN,75,352.789,55,383.772,-20
25_11_04_01_00_01_15,DOWN,53,385.233,40,415.65,-13
25_11_04_01_00_01_15,DOWN,35,563.054,20,593.106,-15
25_11_04_01_00_01_15,UP,95,782.364,86,812.588,-9
25_11_04_01_00_01_15,DOWN,3,841.191,0,841.627,-3
25_11_04_02_00_02_15,UP,15,775.186,4,805.414,-11
25_11_04_03_00_03_15,DOWN,83,493.692,62,524.529,-21
25_11_04_03_00_03_15,DOWN,31,694.352,9,724.544,-22
25_11_04_04_00_04_15,UP,72,362.003,52,392.386,-20
25_11_04_04_00_04_15,DOWN,43,600.338,24,633.848,-19
25_11_04_04_00_04_15,DOWN,28,643.794,16,676.72,-12
25_11_04_04_00_04_15,UP,52,790.406,23,822.042,-29
25_11_04_04_00_04_15,DOWN,68,843.786,36,874.818,-32
25_11_04_04_00_04_15,DOWN,30,880.388,0,899.909,-30
25_11_04_05_00_05_15,UP,49,9.43,33,40.738,-16
25_11_04_05_00_05_15,DOWN,76,178.097,69,208.1,-7
25_11_04_05_00_05_15,UP,11,439.133,10,470.187,-1
25_11_04_07_00_07_15,DOWN,53,29.161,44,60.058,-9
25_11_04_07_00_07_15,DOWN,44,66.287,35,96.409,-9
25_11_04_07_00_07_15,UP,26,530.77,11,561.065,-15
25_11_04_08_00_08_15,UP,44,88.622,32,119.065,-12
25_11_04_10_00_10_15,UP,41,287.083,28,317.227,-13
25_11_04_10_00_10_15,UP,35,749.895,23,780.259,-12
25_11_04_10_00_10_15,UP,25,786.16,4,819.439,-21
25_11_04_11_00_11_15,UP,54,15.347,47,45.763,-7
25_11_04_11_00_11_15,DOWN,41,159.277,26,189.291,-15
25_11_04_12_00_12_15,UP,47,17.502,35,47.841,-12
25_11_04_12_00_12_15,UP,53,461.202,21,491.216,-32
25_11_04_12_00_12_15,DOWN,74,492.336,65,523.212,-9
